Short_reference,Publication_year,Title,DOI,Journal,Taxonomic_group,Climate_change_stressor,Life_stage_exposed,Life_stage_tested,Trait_category,Trait_details,Additional_comments
Silva_et_al_2016,2016,"Effect of multiple stress factors (thermal, nutritional and pregnancy type) on adaptive capability of native ewes under semi-arid environment",10.1016/j.jtherbio.2016.05.001,Journal of Thermal Biology,Mammal,"Temperature, Interaction with non-climatic stressor",Adults,Adults,"Environmental tolerance and preference, Energetics and metabolism, Reproduction",Respiratory rate; Pulse rate; Rectal temperature; Serum markers; Body weight; pregnancy type,NA
Deng_et_al_2020,2020,Energy response and fatty acid metabolism in Onychostoma macrolepis exposed to low-temperature stress,10.1016/j.jtherbio.2020.102725,Journal of Thermal Biology,Fish,Temperature,Adults,Adults,"Environmental tolerance and preference, Energetics and metabolism",Energy homeostasis; Fatty acid metabolism; AMPK activity,NA
Zhao_et_al_2020,2020,Antioxidant responses of the pest natural enemy Hylyphantes graminicola (Araneae: Linyphiidae) exposed to short-term heat stress,10.1016/j.jtherbio.2019.102477,Journal of Thermal Biology,Insect,Temperature,"Larvae or juveniles, Adults","Larvae or juveniles, Adults","Environmental tolerance and preference, Immune function and stress physiology","Reactive oxygen species (ROS) levels; Activities of antioxidant enzymes (superoxide dismutase (SOD), catalase (CAT), peroxidases (POD), glutathione-S-transferases (GST)); Total antioxidant capacity (TAC); Malondialdehyde (MDA) concentrations; Survival rates of spiderlings and adults",NA
Mejia-Gutierrez_et_al_2019,2019,"Effect of temperature increase on fertilization, embryonic development and larval survival of the sea urchin Toxopneustes roseus in the Mexican south Pacific",10.1016/j.jtherbio.2019.05.01,Journal of Thermal Biology,Other invertebrate,Temperature,Embryos,"Embryos, Larvae or juveniles","Environmental tolerance and preference, Reproduction, Development",Effect of temperature on fertilization;  Effect of temperature on embryonic development; Effect of temperature on larval survival,NA
Lau_et_al_2019,2019,Native amphibian larvae exhibit higher upper thermal limits but lower performance than their introduced predator Gambusia affinis,10.1016/j.jtherbio.2019.02.014,Journal of Thermal Biology,"Fish, Amphibian",Temperature,"Larvae or juveniles, Adults","Larvae or juveniles, Adults","Environmental tolerance and preference, Energetics and metabolism, Development",Growth measurements; Oxygen consumption rate; HSP70 expression,NA
Low_et_al_2018,2018,Heat shock response and metabolic stress in the tropical estuarine copepod Pseudodiaptomus annandalei converge at its upper thermal optimum,10.1016/j.jtherbio.2018.02.012,Journal of Thermal Biology,Other invertebrate,Temperature,Larvae or juveniles,Larvae or juveniles,"Environmental tolerance and preference, Energetics and metabolism",hsp70 and hsp90 expression levels; Thermal range of heat shock protein (HSP) synthesis; respiration rates,NA
Sanabria_et_al_2018,2018,"Effect of salinity on locomotor performance and thermal extremes of metamorphic Andean Toads (Rhinella spinulosa) from Monte Desert, Argentina",10.1016/j.jtherbio.2018.03.001,Journal of Thermal Biology,Amphibian,Salinity,Adults,Adults,"Environmental tolerance and preference, Osmoregulation",Determination of thermal tolerances; Determination of locomotor performance,NA
Fu_et_al_2020,2020,Life-history responses of the rice stem borer Chilo suppressalis to temperature change: Breaking the temperature-size rule,10.1016/j.jtherbio.2016.09.006,Journal of Thermal Biology,Insect,Temperature,Larvae or juveniles,"Larvae or juveniles, Adults","Environmental tolerance and preference, Development",Development time; Growth rate; Sexual size dimorphism,NA
Qu_et_al_2014,2014,Incubation temperature fluctuation does not affect incubation length and hatchling phenotype in the Chinese skink Plestiodon chinensis,10.1016/j.jtherbio.2014.09.008,Journal of Thermal Biology,Reptile,Temperature,Embryos,"Embryos, Larvae or juveniles","Environmental tolerance and preference, Development","Hatchling phenotype; Incubation length; size, morphology and locomotor performance measurements",NA
Honek_and_Martinkova_2019,2019,Behavioural thermoregulation hastens spring mating activity in Pyrrhocoris apterus (Heteroptera: Pyrrhocoridae),10.1016/j.jtherbio.2019.07.013,Journal of Thermal Biology,Insect,Temperature,Adults,Adults,Reproduction,Accumulated degree-days (dd) for mating; Accumulated dd for oviposition; Body temperature during basking; Timing of reproduction (mating and oviposition),NA
Osores_et_al_2018,2018,Discovering divergence in the thermal physiology of intertidal crabs along latitudinal gradients using an integrated approach with machine learning,10.1016/j.jtherbio.2018.09.016,Journal of Thermal Biology,Other invertebrate,Temperature,Adults,Adults,"Environmental tolerance and preference, Energetics and metabolism",Metabolic Rate; Recovery time from CTmin; Morphometric measurements; phenotypic plasticity index,NA
Takata_et_al_2018,2018,"The effect of water temperature on muscle cellularity and gill tissue of larval and juvenile Lophiosilurus alexandri, a Neotropical freshwater fish",10.1016/j.jtherbio.2018.07.007,Journal of Thermal Biology,Fish,Temperature,Larvae or juveniles,Larvae or juveniles,"Environmental tolerance and preference, Development",Fish growth; Fiber diameter of white muscle; Muscle hypertrophy; Muscle hyperplasia; Gill morphology; Recruitment of new white fibers.,NA
Bauerfeind_et_al_2018,2018,Geographic variation in responses of European yellow dung flies to thermal stress,10.1016/j.jtherbio.2018.01.002,Journal of Thermal Biology,Insect,Temperature,Adults,"Embryos, Adults","Environmental tolerance and preference, Reproduction",Heat resistance; Cold resistance; Hsp70 expression (in adults and eggs); Reproductive investment; Larval hatching success,NA
Walczynska_et_al_2015,2015,The Temperature-Size Rule in Lecane inermis (Rotifera) is adaptive and driven by nuclei size adjustment to temperature and oxygen combinations,10.1016/j.jtherbio.2014.11.002,Journal of Thermal Biology,Other invertebrate,"Temperature, O₂/CO₂",Adults,Adults,"Environmental tolerance and preference, Reproduction",Body size; fecundity; nuclei size; temperature and oxygen interaction effects.,NA
Simčič_et_al_2014,2014,The thermal tolerance of crayfish could be estimated from respiratory electron transport system activity,10.1016/j.jtherbio.2013.06.003,Journal of Thermal Biology,Other invertebrate,"Temperature, O₂/CO₂",Adults,Adults,"Environmental tolerance and preference, Energetics and metabolism",Food consumption rate; Respiration rate;  electron transport system.,NA
Moore_et_al_2013,2013,Microscopic evaluation of vesicles shed by rat erythrocytes at elevated temperatures,10.1016/j.jtherbio.2013.08.001,Journal of Thermal Biology,Mammal,"Temperature, Humidity/Water availability",Adults,Adults,"Environmental tolerance and preference, Cardiovascular physiology",Vesicle count and diameter distribution of rat blood; Cumulative frequency distribution of vesicle concentration in rat blood; umulative frequency distribution of vesicle diameter in rat blood.,NA
Riseth_et_al_2020,2020,Is it advantageous for Atlantic salmon to be triploid at lower temperatures?,10.1016/j.jtherbio.2020.102548,Journal of Thermal Biology,Fish,Temperature,Adults,Adults,Energetics and metabolism,Standard (SMR) metabolic rates; maximum (MMR) metabolic rates; Swimming performance parameters.,NA
Yang_et_al_2017,2017,"Heat adaptation from regular hot water immersion decreases proinflammatory responses, HSP70 expression, and physical heat stress",10.1016/j.jtherbio.2017.06.012,Journal of Thermal Biology,Mammal,Temperature,Adults,Adults,"Environmental tolerance and preference, Cardiovascular physiology",Body temperature; body weight; heart rate; hematocrit; lactate level; granulocyte counts; tumor necrosis factor-α (TNF-α); interleukin-6 (IL-6); heat shock protein 70 (HSP70) expression in tissues.,NA
Jimenez_and_Williams_2014,2014,"Rapid changes in cell physiology as a result of acute thermal stress House sparrows, Passer domesticus",10.1016/j.jtherbio.2014.10.001,Journal of Thermal Biology,Bird,Temperature,Adults,Adults,Environmental tolerance and preference,Fibroblast cell size; Fibroblast glycolysis and glycolytic capacity; Fibroblast basal cellular O2 consumption (OCR); Fibroblast proton leak; Fibroblast uncoupled maximal cellular O2 consumption; Fibroblast non-mitochondrial respiration; Fibroblast mitochondrial content; Muscle fiber diameter; Muscle Na+–K+-ATPase maximal activity,NA
Vinagre_et_al_2014,2014,Effect of temperature in multiple biomarkers of oxidative stress in coastal shrimp,10.1016/j.jtherbio.2014.02.005,Journal of Thermal Biology,Other invertebrate,Temperature,Adults,Adults,"Environmental tolerance and preference, Immune function and stress physiology",Lipid peroxidation; catalase activity; superoxide dismutase activity; glutathione-S-transferase activity; thermal response variation between species,NA
Feng_et_al_2024,2024,Effects of heat stress on the feeding preference of yellow-feathered broilers and its possible mechanism,10.1016/j.jtherbio.2024.103959,Journal of Thermal Biology,Bird,"Temperature, Interaction with non-climatic stressor",Adults,Adults,"Environmental tolerance and preference, Energetics and metabolism, Immune function and stress physiology, Development","dopamine levels; mRNA levels of stress and metabolic receptors; serum corticosterone, insulin, and glucagon-like peptide-1; phosphorylation of mTOR and PI3K",NA
Moradinour_et_al_2023,2023,Exposure to elevated temperature during development affects eclosion and morphology in the temperate Pieris napi butterfly (Lepidoptera: Pieridae),10.1016/j.jtherbio.2023.103721,Journal of Thermal Biology,Insect,Temperature,Larvae or juveniles,Larvae or juveniles,"Environmental tolerance and preference, Development",Eclosion; Body size; Development of wings; Development of proboscis; Development of eyes; Development of antennae; Mortality.,NA
Xu_et_al_2021,2021,Combined stress of acute cold exposure and waterless duration at low temperature induces mortality of shrimp Litopenaeus vannamei through injuring antioxidative and immunological response in hepatopancreas tissue,10.1016/j.jtherbio.2021.103080,Journal of Thermal Biology,Other invertebrate,"Temperature, Humidity/Water availability",Adults,Adults,Immune function and stress physiology,"Activities of non-specific immunity enzymes (phenol oxidase (PO), acid phosphatase (ACP), alkaline phosphatase (AKP), aspartate aminotransferase (AST), alanine transaminase (ALT)); Accumulation of reactive oxygen species (ROS); Levels of malonaldehyde (MDA); Superoxide dismutase (SOD); Catalase (CAT); Glutathione peroxidase (GSH-Px); Total antioxidant capacity (T-AOC); Pathological impairment on hepatopancreas tissue.",NA
Ismail_and_Brooks_2016,2016,"The impact of geographical origin of two strains of the herbivore, Eccritotarsus catarinensis, on several fitness traits in response to temperature",10.1016/j.jtherbio.2016.07.008,Journal of Thermal Biology,Insect,Temperature,Adults,"Embryos, Larvae or juveniles","Environmental tolerance and preference, Reproduction",Egg hatching rate; Nymphal survival rate; Sex ratio; Lifetime fecundity,NA
Fe-Goncalves_et_al_2020,2020,How will farmed populations of freshwater fish deal with the extreme climate scenario in 2100? Transcriptional responses of Colossoma macropomum from two Brazilian climate regions,10.1016/j.jtherbio.2019.102487,Journal of Thermal Biology,Fish,"Temperature, O₂/CO₂",Larvae or juveniles,Larvae or juveniles,"Environmental tolerance and preference, Energetics and metabolism, Immune function and stress physiology",Liver transcriptome differential expression;,NA
